jid,formula,formation_energy_per_atom,optb88vdw_bandgap,mbj_bandgap,ehull,spacegroup_number,natoms,volume,bulk_modulus_kv,shear_modulus_gv
JVASP-22587,RbVF3,-2.55295,0.0,0.0,0.2732,,,,,
JVASP-89957,Sr2Ti2As2OF2,-2.53538,0.0,na,0.0,,,,,
JVASP-18912,YMg,-0.10473,0.0,0.0,0.0,,,,,
JVASP-90428,NiN6Cl2,2.71694,0.0,na,2.9354,,,,,
JVASP-48091,MnOF,-2.10085,0.0,na,0.0,,,,,
JVASP-29104,Te6Mo3WSe2,-0.27116,0.451,na,0.0796,,,,,
JVASP-64427,Ba4MgBi,0.131,0.0,na,0.6159,,,,,
JVASP-64129,KBaZn,0.3128,0.0,0.0,0.5168,,,,,
JVASP-64090,Ba4MnW,1.80863,0.0,na,1.9014,,,,,
JVASP-64314,Ba4VSe,0.53175,0.0,0.0,1.2624,,,,,
JVASP-63956,Ba4TaIn,0.92665,0.0,na,1.1302,,,,,
JVASP-107735,TiCrAgS4,-0.90342,0.0,na,0.0141,,,,,
JVASP-64861,Ba4NbBi,0.65832,0.0,0.0,1.0927,,,,,
JVASP-64780,Ba4CaSn,0.16814,0.0,na,0.5621,,,,,
JVASP-98798,KMoP2O8,-2.27198,0.902,na,0.0,,,,,
JVASP-64512,Ba4HgSb,0.09779,0.0,0.0,0.75,,,,,
JVASP-53301,UNiSn,0.5848,0.0,0.0,0.8474,,,,,
JVASP-64184,Ba4CdSe,0.0668,0.0,0.0,0.9413,,,,,
JVASP-64945,MnBeIr4,0.76069,0.0,na,1.0001,,,,,
JVASP-86322,LiO,-1.61471,2.147,na,0.0107,,,,,
JVASP-14756,USb,-0.17167,0.0,0.0,0.0776,,,,,
JVASP-16079,Cr,0.3834,0.0,0.0,0.0,,,,,
JVASP-47529,MnCoO4,-1.45226,0.0,na,0.0,,,,,
JVASP-91520,LaAlH6,-0.4228,2.583,na,0.0,,,,,
JVASP-22670,Rb2MnCl6,-1.34678,0.0,0.0,0.0,,,,,
JVASP-97623,Ag2F5,-1.18575,0.0,na,0.0,,,,,
JVASP-49836,CeTiO3,-3.35291,0.0,na,0.0147,,,,,
JVASP-28959,Te2MoWSeS,-0.379,0.224,na,0.1803,,,,,
JVASP-15810,LiSiCu2,-0.1977,0.0,na,0.0,,,,,
JVASP-90114,Zn2Ga2S5,-0.69686,0.813,1.947,0.1275,,,,,
JVASP-1390,SrO,-3.02565,3.405,4.958,0.0,,,,,
JVASP-47962,Li2VO2F,-2.67509,0.0,0.0,0.0588,,,,,
JVASP-1879,NaVO2,-2.26988,0.0,0.0,0.0,,,,,
JVASP-98688,Nb3Si,-0.38706,0.0,na,0.0103,,,,,
JVASP-5482,CSO,-0.53181,4.642,5.371,0.1334,,,,,
JVASP-18433,LiNiO2,-1.44752,0.0,0.516,0.0326,,,,,
JVASP-29024,Te4MoW,-0.11943,0.9,na,0.0937,,,,,
JVASP-97985,SnHgO3,-1.13228,0.0,1.116,0.0432,,,,,
JVASP-22721,PbBr2,-0.90725,2.64,3.414,0.0515,,,,,
JVASP-86154,Fe2B,0.07844,0.0,na,0.3628,,,,,
JVASP-32197,HgHClO4,-0.23818,2.657,na,0.1241,,,,,
JVASP-16112,YbAsPd,-1.05977,0.0,na,0.0,,,,,
JVASP-85557,EuCuBi,-0.45383,0.0,na,0.0,,,,,
JVASP-43739,LiFeF3,-2.4143,0.0,0.0,0.0711,,,,,
JVASP-3828,K2TcCl6,-1.41944,0.995,na,0.0,,,,,
JVASP-91564,SmSb2Au,-0.69108,0.0,na,0.0371,,,,,
JVASP-97732,LaMgSi2,-0.59934,0.0,na,0.0,,,,,
JVASP-43842,V6O7F5,-2.68429,0.0,na,0.0312,,,,,
JVASP-98494,Nd3S2Br5,-2.09659,2.895,na,0.0,,,,,
JVASP-89901,Ho3Co2Ge4,-0.73138,0.0,na,0.0,,,,,
JVASP-4729,YAl3,0.44663,0.0,na,0.9205,,,,,
JVASP-97336,Sr2TaN3,-1.36257,2.498,na,0.0,,,,,
JVASP-63913,Ba4YRh,0.81326,0.0,na,1.1203,,,,,
JVASP-87903,BaSm2CoO5,-2.88803,0.0,na,0.0296,,,,,
JVASP-49773,LiTaO3,-2.82215,2.446,na,0.1045,,,,,
JVASP-3534,BiClO,-1.39849,2.87,4.005,0.0,,,,,
JVASP-15831,CrS2,-0.43786,0.0,0.0,0.2317,,,,,
JVASP-43424,Li2MnCuO4,-1.70054,0.0,na,0.1199,,,,,
JVASP-64130,Ba4VMo,1.64033,0.0,na,1.6838,,,,,
JVASP-3252,Sm2SeO2,-3.24311,2.316,3.697,0.0,,,,,
JVASP-14081,PdF3,-1.29169,0.0,na,0.0532,,,,,
JVASP-98173,HfTlCuS3,-1.10593,0.854,na,-0.0,,,,,
JVASP-1837,LiYSe2,-1.80991,1.599,na,0.0,,,,,
JVASP-48383,NaFePO4,-1.99266,0.0,0.0,0.0165,,,,,
JVASP-18544,LiNiN,-0.17665,0.0,na,0.1873,,,,,
JVASP-53071,MgIn2O4,-2.06549,1.509,3.138,0.0179,,,,,
JVASP-97428,LiH4SNO4,-1.21489,5.387,na,0.0,,,,,
JVASP-14997,YbNi5,-0.32266,0.0,na,0.0168,,,,,
JVASP-64092,Ba4TiNb,1.3415,0.0,0.0,1.3415,,,,,
JVASP-43079,LiCuS,-0.77246,0.967,1.578,0.0762,,,,,
JVASP-64428,Ba4NaRh,0.69256,0.0,0.0,0.749,,,,,
JVASP-90580,ZrSn,-0.3674,0.0,na,0.1298,,,,,
JVASP-50935,AlInO3,-2.48756,2.464,4.061,0.0205,,,,,
JVASP-64185,Ba4ZrTi,1.14031,0.0,0.0,1.1403,,,,,
JVASP-22698,LiAgF2,-2.08997,1.737,3.877,0.0349,,,,,
JVASP-64004,Ba4BiTe,-0.30102,0.0,na,0.7692,,,,,
JVASP-64783,Ba4MgGe,0.38165,0.0,na,0.7222,,,,,
JVASP-64046,Ba4LiRh,0.72948,0.0,na,0.803,,,,,
JVASP-37168,YTi,0.35286,0.0,0.0,0.3529,,,,,
JVASP-64315,KBaNb,1.56875,0.0,0.0,1.5716,,,,,
JVASP-91653,Mg3In,-0.07756,0.0,na,0.0271,,,,,
JVASP-50807,Ho6ReO12,-3.44532,0.026,2.429,0.0,,,,,
JVASP-86899,Zr5Sb4,-0.65847,0.0,na,0.0257,,,,,
JVASP-64721,Ba4NbHg,0.89619,0.0,na,1.068,,,,,
JVASP-50006,RbTaO3,-2.83629,2.391,3.351,0.0,,,,,
JVASP-98438,PH5N2O4,-0.69247,0.0,na,0.4451,,,,,
JVASP-43622,AlFeO3,-2.22845,0.307,na,0.153,,,,,
JVASP-64515,Ba4MgIn,0.28297,0.0,na,0.537,,,,,
JVASP-63957,Ba4MgTc,1.08591,0.0,na,1.1364,,,,,
JVASP-52881,K3CaP2HO8,-2.50095,5.395,8.178,0.0,,,,,
JVASP-98354,Ba9Y2Si6O24,-3.27649,4.611,na,0.0019,,,,,
JVASP-53435,Sm2ZnS4,-1.69558,1.4,2.495,0.0713,,,,,
JVASP-42398,Li2FeO2F,-2.23094,0.004,0.0,0.0247,,,,,
JVASP-16930,VS2,-0.94178,0.0,0.0,0.0236,,,,,
JVASP-50690,LiCu2F6,-1.9273,0.0,na,0.0,,,,,
JVASP-90040,HfSnRh,-0.68843,0.0,na,0.0139,,,,,
JVASP-64241,Ba4HfCl,0.52226,0.0,0.0,1.1963,,,,,
JVASP-43523,Li4VCr3O8,-2.28643,0.0,0.0,0.0256,,,,,
JVASP-92194,Mg6ZnFe,0.12011,0.0,na,0.1478,,,,,
JVASP-64668,Ba4ZrPb,0.55506,0.0,0.0,0.8598,,,,,
JVASP-50107,Tb2SeO2,-3.31305,2.347,3.655,0.0,,,,,
JVASP-88701,RbAuN12,0.46758,1.476,na,0.5496,,,,,
JVASP-47760,Li3CrSiO5,-2.43891,1.788,na,0.0812,,,,,
JVASP-65020,BeCuPt,-0.38954,0.0,na,0.0,,,,,
JVASP-91608,Mg3NiO4,-2.43793,0.0,na,0.0287,,,,,
JVASP-48576,Li5Ti2Co3O10,-2.16451,0.0,na,0.1015,,,,,
JVASP-3096,Tl2SnF6,-2.35056,4.346,5.062,0.0,,,,,
JVASP-22617,NiSnF6,-2.13396,0.0,0.0,0.1179,,,,,
JVASP-64378,Ba4BeCr,1.11213,0.0,na,1.1645,,,,,
JVASP-85271,La2PI2,-1.67055,0.0,na,0.0,,,,,
JVASP-48745,LiVCuO4,-1.94734,0.0,na,0.0482,,,,,
JVASP-14614,Sb,0.04824,0.0,0.0,0.0,,,,,
JVASP-5059,Dy3Mn3Ga2Si,-0.31186,0.0,0.0,0.1507,,,,,
JVASP-52544,Ba2YBr7,-2.12953,3.156,3.768,0.0691,,,,,
JVASP-64862,Ba4TlZn,0.34567,0.0,na,0.6127,,,,,
JVASP-90713,ScNiC2,-0.37021,0.0,na,0.0181,,,,,
JVASP-50463,Li4CuSi2O7,-2.38655,0.692,na,0.0431,,,,,
JVASP-97853,Sn3PO4F3,-1.94364,2.376,3.034,0.2123,,,,,
JVASP-48232,LiMn7O12,-1.77785,0.0,na,0.0917,,,,,
JVASP-50396,Zr2Bi2O7,-2.59193,2.949,na,0.0482,,,,,
JVASP-88009,WI3O,-0.82599,0.0,na,0.0,,,,,
JVASP-13907,Sr5P3ClO12,-3.08933,5.505,na,0.0,,,,,
JVASP-86274,Al6Fe,-0.21301,0.0,na,0.0,,,,,
JVASP-44064,Na2CoO3,-1.47624,0.0,na,0.0165,,,,,
JVASP-88825,RbHSeO4,-1.14237,3.811,na,0.0,,,,,
JVASP-90768,YSn3,-0.41772,0.0,na,0.0232,,,,,
JVASP-42657,FeO2,-1.39242,0.0,0.0,0.028,,,,,
JVASP-4492,LuTaO4,-3.53591,4.119,5.36,0.0,,,,,
JVASP-15181,CeAl2Zn2,-0.40717,0.0,na,0.0,,,,,
JVASP-97576,Ca4Al6SO12,-3.24073,3.685,na,0.0109,,,,,
JVASP-98799,VH16C6N6O7F2,-0.76411,1.298,na,0.0922,,,,,
JVASP-52341,SbOF,-1.86145,3.601,5.289,0.0562,,,,,
JVASP-13976,LiSmAlF6,-3.50227,0.0,na,0.2507,,,,,
JVASP-65063,K4SrBe,0.60385,0.0,na,0.6236,,,,,
JVASP-52783,LiMnPO4,-2.18809,2.226,na,0.0305,,,,,
JVASP-91890,LaMg7,0.01349,0.0,na,0.0792,,,,,
JVASP-44255,Co3OF5,-1.65659,0.0,0.0,0.0442,,,,,
JVASP-98090,K2MnP2O7,-2.28697,2.601,na,0.0,,,,,
JVASP-91848,LaFe5H2,-0.04638,0.0,na,0.2243,,,,,
JVASP-48310,FeP3O9,-1.97129,0.992,na,0.0,,,,,
JVASP-91794,Sc3RhC4,-0.59624,0.0,na,0.0117,,,,,
JVASP-42804,V4O3F9,-2.89723,0.0,0.0,0.0062,,,,,
JVASP-86845,NaLi5N2,-0.39393,0.683,na,0.1013,,,,,
JVASP-97500,CoIN2O2,-0.19644,1.275,na,0.3422,,,,,
JVASP-52477,Na2TiO3,-2.63322,3.235,3.732,0.0,,,,,
JVASP-15431,Li2CuO2,-1.55369,0.0,0.563,0.0162,,,,,
JVASP-48462,Li3CoOF3,-2.49145,0.0,na,0.1443,,,,,
JVASP-91939,TiCo3,-0.26241,0.0,na,0.0284,,,,,
JVASP-14740,C,0.0,0.0,3.17,0.0,,,,,
JVASP-47623,LiFeCoO4,-1.49471,0.0,na,0.1197,,,,,
JVASP-85447,BaNiF6,-2.59956,1.281,na,0.0,,,,,
JVASP-90336,Sr2H6Os,-0.62937,2.398,2.894,0.0,,,,,
JVASP-107736,TiAlNi6,-0.50654,0.0,na,0.0,,,,,
JVASP-41360,HfScCo2,-0.45447,0.0,na,0.0,,,,,
JVASP-42721,LiFe2O2F3,-2.02306,0.0,na,0.1552,,,,,
JVASP-65102,BeTl4W,1.45878,0.0,na,1.576,,,,,
JVASP-86779,Ni2Sn4Au,-0.206,0.0,na,0.0,,,,,
JVASP-86678,NdMgSi2,-0.51564,0.0,na,0.0,,,,,
JVASP-64585,Ba4LaGe,0.44903,0.0,na,0.7949,,,,,
JVASP-49949,Ce2Nd2O7,-3.58436,2.253,na,0.0549,,,,,
JVASP-91746,YbIn2Pt,-0.78133,0.0,na,0.0,,,,,
JVASP-97379,KGaCl4,-1.54325,4.145,na,0.0,,,,,
JVASP-86369,LaZn5,-0.32413,0.0,na,0.03,,,,,
JVASP-91989,Tc3Pd,-0.07592,0.0,na,0.0,,,,,
JVASP-86026,La4Ni3O8,-2.66858,0.0,na,0.0658,,,,,
JVASP-85365,Fe11Co5,-0.02333,0.0,na,0.0097,,,,,
JVASP-42540,Mn6O7F5,-2.045,0.0,na,0.0,,,,,
JVASP-88121,TbB3O6,-2.94556,5.39,na,0.0,,,,,
JVASP-48645,VOF3,-2.66891,2.815,3.183,0.0716,,,,,
JVASP-90812,PrAlH6,-0.3662,2.332,3.193,0.0,,,,,
JVASP-48922,Li2Mn2F7,-2.70704,0.159,na,0.0637,,,,,
JVASP-88347,P6H24N6O19,-1.15637,0.0,na,0.058,,,,,
JVASP-38346,RbAlO3,-1.81118,0.0,na,0.4368,,,,,
JVASP-85665,Ba2MgH6,-0.55323,2.988,3.811,0.0,,,,,
JVASP-38540,LiYO3,-2.12237,0.0,na,0.4593,,,,,
JVASP-4591,Tl6TeO6,-0.85133,1.561,2.229,0.0,,,,,
JVASP-86570,RePbClO4,-1.59866,3.172,3.719,0.0,,,,,
JVASP-38312,RbF3,-1.28311,0.0,0.0,0.3443,,,,,
JVASP-98226,RbBi,-0.44628,0.413,na,0.0,,,,,
JVASP-85785,KH2I3O,-0.88515,1.811,2.462,0.0,,,,,
JVASP-87103,HoCoSi2,-0.74274,0.0,na,0.0,,,,,
JVASP-38306,RbLiO3,-0.50274,0.0,0.0,0.7489,,,,,
JVASP-42221,V2O3F,-2.65354,0.0,na,0.0244,,,,,
JVASP-85713,LiHS,-0.84152,3.501,na,0.0002,,,,,
JVASP-87207,MnSe2O6,-1.13327,1.364,na,0.0121,,,,,
JVASP-90168,UInPt,-0.47845,0.0,na,0.0399,,,,,
JVASP-37035,TiFeCoAs,-0.34463,0.0,na,0.1494,,,,,
JVASP-97801,Yb2InCu2,-0.47749,0.0,na,0.0,,,,,
JVASP-64946,BeNi4Ru,0.21646,0.0,na,0.3723,,,,,
JVASP-85922,Eu2I2O,-1.88116,0.0,0.0,0.2106,,,,,
JVASP-98932,NaH2SO4,-1.42011,5.239,na,0.0168,,,,,
JVASP-85852,Ag3O4,-0.16218,0.0,na,0.031,,,,,
JVASP-14575,CeN,-1.66792,0.0,na,0.0,,,,,
JVASP-98701,LaIn5Co,-0.30722,0.0,na,0.0,,,,,
JVASP-22644,SiC,-0.2438,2.273,3.023,0.0004,,,,,
JVASP-64188,Ba4ZrCu,0.94359,0.0,na,1.0051,,,,,
JVASP-88512,Nb2FeO6,-2.33628,0.266,na,0.046,,,,,
JVASP-90627,SiNi,-0.28064,0.0,0.0,0.1465,,,,,
JVASP-86502,ThTi2O6,-3.55196,2.966,3.343,0.0156,,,,,
JVASP-63915,Ba4TaCo,1.49863,0.0,na,1.5885,,,,,
JVASP-37194,Mn2SiRu,-0.28167,0.0,0.0,0.0082,,,,,
JVASP-37189,Mn3Ga,0.06965,0.0,na,0.1207,,,,,
JVASP-37044,TiFe2As,-0.33344,0.0,0.0,0.1586,,,,,
JVASP-38278,RbZnO3,-0.67651,0.0,na,0.5618,,,,,
JVASP-19857,ThN,-1.76502,0.0,na,0.0,,,,,
JVASP-38694,NaSrO3,-1.13947,0.0,na,0.6589,,,,,
JVASP-37946,Co3Bi,0.44331,0.0,0.0,0.4519,,,,,
JVASP-37051,Ti2GaFe,-0.24587,0.0,0.298,0.2185,,,,,
JVASP-38325,RbNiO3,-0.67483,0.0,na,0.3301,,,,,
JVASP-64005,BaNaSc,0.90168,0.0,0.0,0.9374,,,,,
JVASP-15056,HoAg,-0.37346,0.0,na,0.0,,,,,
JVASP-38317,RbF3,-1.27512,0.0,0.0,0.3523,,,,,
JVASP-64131,Ba4CuSe,0.2644,0.0,na,1.0378,,,,,
JVASP-37031,TiFe2Sb,-0.23465,0.0,0.114,0.0465,,,,,
JVASP-98615,Ca3La3B5O15,-3.27414,4.294,na,0.0,,,,,
JVASP-14789,NdTe,-1.46013,0.0,0.737,0.0,,,,,
JVASP-98038,La3CuSnS7,-1.71488,1.685,na,0.0,,,,,
JVASP-28636,MoWSe2S2,-0.7351,0.586,na,0.123,,,,,
JVASP-97916,RbCrF5,-2.80415,0.0,na,0.0,,,,,
JVASP-18944,LaAs,-1.63611,0.0,0.341,0.0,,,,,
JVASP-64985,Be2RuPb,0.41383,0.0,0.0,0.6836,,,,,
JVASP-64784,Ba4NiBr,0.49424,0.0,0.0,1.083,,,,,
JVASP-64093,BaSrCd,0.2523,0.0,na,0.5501,,,,,
JVASP-98551,TmFeO3,-2.65468,0.0,na,0.0323,,,,,
JVASP-39448,RuPbO3,-1.1063,0.0,na,0.1373,,,,,
JVASP-37049,Ti2GaNi,-0.2525,0.0,na,0.2089,,,,,
JVASP-15260,Li2GaPt,-0.69134,0.0,na,0.0,,,,,
JVASP-64429,Ba4LiSn,0.22923,0.0,na,0.582,,,,,
JVASP-87040,VP4,-0.3635,0.0,na,0.0,,,,,
JVASP-16080,Mn,0.07558,0.0,na,0.0,,,,,
JVASP-14914,Si2Ru,-0.29383,0.0,na,0.1148,,,,,
JVASP-37042,Ti3Ge,-0.25899,0.0,na,0.1879,,,,,
JVASP-107773,Ca3CdO4,-2.77374,1.85,3.401,0.0,,,,,
JVASP-50760,LiAgF2,-2.06912,1.584,na,0.0557,,,,,
JVASP-37191,Mn2SnRu,0.0907,0.0,na,0.1476,,,,,
JVASP-37039,Ti3Sn,-0.17272,0.0,0.0,0.1134,,,,,
JVASP-97337,Na3Hg2,-0.17095,0.0,na,0.0,,,,,
JVASP-64316,Ba4NbFe,1.56755,0.0,0.0,1.611,,,,,
JVASP-37104,Sc2MnGe,-0.19439,0.0,0.0,0.4311,,,,,
JVASP-64047,Ba4LaTc,1.11468,0.0,na,1.1147,,,,,
JVASP-38842,MgMnRh2,-0.30028,0.0,0.0,0.0,,,,,
JVASP-64528,Ba4LiPb,0.23283,0.0,na,0.5476,,,,,
JVASP-64244,Ba4HfCu,1.02361,0.0,0.0,1.0897,,,,,
JVASP-14830,W,0.0,0.0,0.0,0.0,,,,,
JVASP-64379,Ba4TlTe,-0.04958,0.0,na,0.7511,,,,,
JVASP-98439,CdH4S2O5,-1.03375,3.169,na,0.0283,,,,,
JVASP-37057,Ti2InNi,-0.09282,0.0,0.0,0.2004,,,,,
JVASP-63958,Ba4BiPd,0.18018,0.0,na,0.8494,,,,,
JVASP-64670,Ba4TiSe,0.46016,0.0,0.0,1.1908,,,,,
JVASP-97854,AgNO3,-0.10368,0.861,na,0.1824,,,,,
JVASP-11958,Al9Co2,-0.35191,0.0,na,0.0,,,,,
JVASP-36885,TlCoF3,-1.84964,0.0,0.0,0.0,,,,,
JVASP-97988,HoMn12,-0.02471,0.0,na,0.0,,,,,
JVASP-1750,ErSbPd,-1.10797,0.214,0.236,0.0,,,,,
JVASP-64724,Ba4GaCu,0.58324,0.0,na,0.7637,,,,,
JVASP-36782,MnAgO2,-1.22149,0.0,0.0,0.1322,,,,,
JVASP-64865,Ba4ScNb,1.14257,0.0,na,1.1426,,,,,
JVASP-36857,MnAuO2,-1.15603,0.0,0.0,0.1977,,,,,
JVASP-37583,VFeRu2,-0.07385,0.0,0.0,0.0507,,,,,
JVASP-39364,Ni3Hg,0.28546,0.0,0.0,0.2855,,,,,
JVASP-98496,Li3P7,-0.42434,1.8,na,0.0,,,,,
JVASP-28962,TeMoWSe2S,-0.49652,0.44,na,0.1705,,,,,
JVASP-64907,Be2TlIr,0.30087,0.0,0.0,0.6093,,,,,
JVASP-65023,Mg4BeRu,0.61273,0.0,na,0.7352,,,,,
JVASP-36850,MnAgO2,-1.21096,0.0,0.0,0.1427,,,,,
JVASP-91700,B2CN,-0.53074,0.0,0.0,0.1926,,,,,
JVASP-36853,MnAuO2,-1.14822,0.0,0.0,0.2055,,,,,
JVASP-98174,Na2LiAlP2,-0.75957,1.961,2.683,0.0,,,,,
JVASP-107737,Ti4CuAg,-0.10614,0.0,na,0.0,,,,,
JVASP-90429,K3Sb,-0.50344,0.477,na,0.0,,,,,
JVASP-323,TiS2,-1.42034,0.0,0.048,0.0071,,,,,
JVASP-97429,CdP2O6,-2.03639,3.786,na,0.0,,,,,
JVASP-89958,PrMgAg,-0.285,0.0,na,0.0,,,,,
JVASP-37300,SrCaO3,-2.02424,0.0,na,0.5792,,,,,
JVASP-38181,KInO3,-1.04267,0.0,0.0,0.4063,,,,,
JVASP-1198,ZnTe,-0.45889,1.057,2.233,0.0099,,,,,
JVASP-38289,RbSrO3,-1.14494,0.0,na,0.6668,,,,,
JVASP-37387,Th3U,0.25005,0.0,na,0.25,,,,,
JVASP-38327,RbCaO3,-1.29606,0.0,0.0,0.6147,,,,,
JVASP-48092,Mn3O4F2,-2.01166,0.0,na,0.0,,,,,
JVASP-47532,Mn2FeO3,-1.20979,0.0,na,0.0,,,,,
JVASP-29105,Te8Mo3W,-0.1686,0.866,na,0.0583,,,,,
JVASP-64586,Ba4CdSn,0.17204,0.0,na,0.6587,,,,,
JVASP-22557,CrCuO2,-1.39347,0.0,0.0,0.1899,,,,,
JVASP-39275,FeAu3,0.16809,0.0,0.0,0.169,,,,,
JVASP-97624,Mg9Si5,-0.16668,0.0,0.127,0.0394,,,,,
JVASP-14757,Li,-0.00017,0.0,na,0.0,,,,,
JVASP-22671,NaCrO2,-1.8573,0.0,0.0,0.246,,,,,
JVASP-22514,CoF2,-1.57806,0.0,0.0,0.2276,,,,,
JVASP-15478,LiGa2Rh,-0.53024,0.0,na,0.0,,,,,
JVASP-28353,CoTe2,-0.19234,0.0,0.0,0.0124,,,,,
JVASP-90115,Zn2Ga2S5,-0.6912,0.0,na,0.1332,,,,,
JVASP-89035,Tl2MoO4,-1.70163,3.21,na,0.0,,,,,
JVASP-91521,CeSi2Ir,-0.89065,0.0,na,0.0,,,,,
JVASP-39244,KBaO3,-0.98063,0.0,na,0.7754,,,,,
JVASP-38332,RbBaO3,-1.03013,0.0,na,0.7064,,,,,
JVASP-98291,H4PbC2O6,-1.13115,2.962,na,0.052,,,,,
JVASP-65065,BePd4Rh,0.42668,0.0,na,0.6816,,,,,
JVASP-3648,HgBr2,-0.33502,2.075,3.326,0.0136,,,,,
JVASP-86727,SmSi2Rh3,-0.95322,0.0,na,0.0,,,,,
JVASP-98702,CeSiIr,-0.94489,0.0,na,0.0,,,,,
JVASP-97502,H3ClO5,-0.36869,5.202,na,0.1337,,,,,
JVASP-43624,Rb2O,-1.13824,1.273,na,0.0385,,,,,
JVASP-64132,Ba4CoW,1.5683,0.0,na,1.6861,,,,,
JVASP-65103,BeTlSe4,0.60347,0.0,na,1.0165,,,,,
JVASP-64006,Ba4ZrSn,0.54982,0.0,na,0.8926,,,,,
JVASP-63916,Ba4TaBe,1.39437,0.0,na,1.4613,,,,,
JVASP-89902,NdAlNi,-0.56556,0.0,na,0.0,,,,,
JVASP-43427,K2O,-1.19689,2.106,4.939,0.0606,,,,,
JVASP-5485,CdI2,-0.58149,2.119,3.362,0.0,,,,,
JVASP-49894,PrTiO3,-3.33859,0.0,na,0.0444,,,,,
JVASP-2017,LiCoO2,-1.67424,1.005,na,0.0227,,,,,
