formula,Tc,tc_source,dataset,pressure_gpa,lambda,wlog,debye_temp,dos_ef
NRu,5.325812092265546,dft,jarvis_3d,,15.7959,20.6748,,
CoFe,6.753613745598571,dft,jarvis_3d,,1.1042,79.0086,,
FeN,10.92688138901103,dft,jarvis_3d,,5.6861,48.6757,,
BLiN,14.280749107380505,dft,jarvis_3d,,1.4193,126.3309,,
AlLi2N2,1.0498065012980247,dft,jarvis_3d,,0.3428,426.7392,,
NaSeZn,10.51733290409602,dft,jarvis_3d,,1.667,80.7782,,
C2H2,21.599740692816635,dft,jarvis_3d,,2.6267,124.5158,,
AsSeTi,5.594615860443659,dft,jarvis_3d,,2.2685,34.8511,,
AlCTi3,0.25063654198652835,dft,jarvis_3d,,0.2942,313.3907,,
BeGaO3,3.7420996911205564,dft,jarvis_3d,,0.5076,235.7631,,
MoNbO4,16.97126024246517,dft,jarvis_3d,,1.3855,153.6973,,
CoIrV6,2.1925073179894197,dft,jarvis_3d,,0.4126,320.737,,
CrSi6Ta2,0.05626510303929843,dft,jarvis_3d,,0.2535,301.148,,
Al6MoTi,0.31376228342118984,dft,jarvis_3d,,0.3102,256.5858,,
Al6MoZr,2.920116096607526,dft,jarvis_3d,,0.5179,171.7315,,
Co4TaZr,5.479572216299957,dft,jarvis_3d,,2.5112,32.3066,,
Si2Ti6,10.491910655947041,dft,jarvis_3d,,0.9395,154.2619,,
B4IrMo,0.7519754728005686,dft,jarvis_3d,,0.3298,394.8502,,
GeOsV6,7.551043838787761,dft,jarvis_3d,,0.605,276.9073,,
Al3Ti,0.3173716532160692,dft,jarvis_3d,,0.3041,302.8722,,
CoRhV6,2.8818758784845677,dft,jarvis_3d,,0.438,321.7505,,
AlGeNi6,3.0214918578578124e-07,dft,jarvis_3d,,0.1519,247.3735,,
Li3MnP2,0.10654309710519265,dft,jarvis_3d,,0.2679,315.9773,,
B4Mo2Ru2,11.391538423056158,dft,jarvis_3d,,1.396,102.4027,,
B4NbZr,0.7705287538138221,dft,jarvis_3d,,0.3205,494.5796,,
Al3Mo3Si3,0.040620096046031194,dft,jarvis_3d,,0.2467,298.3441,,
FeMnSi4,0.10340603730303176,dft,jarvis_3d,,0.2655,336.1197,,
As2Cr6,3.916931927178963,dft,jarvis_3d,,0.4626,348.6299,,
BePTi,8.028164704517984,dft,jarvis_3d,,1.1434,89.8877,,
BCu2N2,0.0386844117729127,dft,jarvis_3d,,0.2479,268.164,,
AsNaSe,1.530003207987008,dft,jarvis_3d,,0.5146,91.9533,,
B2O2S2,9.560345784099109,dft,jarvis_3d,,0.7762,196.4837,,
BO2Sc,6.760341866318378,dft,jarvis_3d,,1.2212,70.0078,,
CaGaO3,3.0966433366264154,dft,jarvis_3d,,0.6273,103.131,,
F2NTa,1.0390889260978966,dft,jarvis_3d,,0.55,50.289,,
BaBrCl2,3.9642118971211393,dft,jarvis_3d,,1.1979,41.9749,,
F2OTi,0.00010354714442657251,dft,jarvis_3d,,0.1783,273.7122,,
Cl2O2Zn2,0.09712143271234654,dft,jarvis_3d,,0.3353,45.6112,,
AlN2Ti,7.267250915655608,dft,jarvis_3d,,0.5564,339.398,,
FO2Ru,4.950265747024752,dft,jarvis_3d,,1.0201,64.4263,,
As2V6,4.796574205984162,dft,jarvis_3d,,0.4939,332.9953,,
S2Ti2,8.050372339554688,dft,jarvis_3d,,0.7164,195.3862,,
Al2Mo6,0.6729398941690936,dft,jarvis_3d,,0.3386,296.2632,,
B2Cr2,2.652930531706094,dft,jarvis_3d,,0.407,414.3217,,
Cr4Si4,2.2766822500725916,dft,jarvis_3d,,0.4239,293.8287,,
Mo3Ni3P3,0.9285197635211037,dft,jarvis_3d,,0.3616,272.1907,,
AlB2Cr2,0.0007519991562067626,dft,jarvis_3d,,0.1884,498.7819,,
B2Co3Hf,3.606048738973654,dft,jarvis_3d,,0.7141,88.1381,,
B4Ti4,0.17707193077965433,dft,jarvis_3d,,0.2716,458.0932,,
Si4Ti2,0.0,dft,jarvis_3d,,-0.0471,0.0,,
AlNi3,2.4108775704524556e-08,dft,jarvis_3d,,0.1444,276.5483,,
Be4Ta2,2.9684140374417796,dft,jarvis_3d,,0.4669,254.7164,,
Cr3GaN,10.863555482811917,dft,jarvis_3d,,0.7599,232.9345,,
NaO2Ti,3.3936858181785716,dft,jarvis_3d,,0.4322,401.5887,,
Mn3NPt,11.484823205874566,dft,jarvis_3d,,1.1508,127.5761,,
Si4Ti4,0.011834414938999316,dft,jarvis_3d,,0.2225,348.6838,,
CRu3Sc,1.0351947247258366,dft,jarvis_3d,,0.3794,231.5627,,
Ni2V6,9.451104297047639,dft,jarvis_3d,,0.6876,251.4775,,
Cr2P4,0.22869281070949504,dft,jarvis_3d,,0.2821,413.1667,,
AlCCo3,0.7315441360126771,dft,jarvis_3d,,0.3592,223.0199,,
RhSi,3.9160711986325403,dft,jarvis_3d,,5.4208,17.6314,,
Nb6Si2,16.501426785688462,dft,jarvis_3d,,1.4754,140.7534,,
Cr3NPd,12.949010521815016,dft,jarvis_3d,,2.2859,80.3144,,
Cr3NPt,8.422278458811165,dft,jarvis_3d,,2.8918,46.4333,,
C2Ge2V4,2.946616783695352,dft,jarvis_3d,,0.4446,308.6181,,
C2Ge2Ti4,0.24028301915820405,dft,jarvis_3d,,0.2963,283.0951,,
B2V2,0.0006503919620575464,dft,jarvis_3d,,0.1865,547.3375,,
Si6V3,0.00010383338783251137,dft,jarvis_3d,,0.1756,419.7009,,
Al2Sc4,3.4179466814301698,dft,jarvis_3d,,0.8651,57.5226,,
AuY,3.073279554098029,dft,jarvis_3d,,0.893,49.0231,,
Be5Zr,1.836000469587111,dft,jarvis_3d,,0.3942,335.9936,,
BSi2Ti6,0.3153411007637102,dft,jarvis_3d,,0.2995,340.111,,
Al4Ti2,0.04930025706760781,dft,jarvis_3d,,0.2496,315.3433,,
Al6W3,4.09561049595604,dft,jarvis_3d,,1.3592,37.8075,,
CrRh3,4.671310120237188,dft,jarvis_3d,,0.547,229.9667,,
CaSi2,10.026395757474122,dft,jarvis_3d,,1.2676,99.594,,
Al2C2Sc4,1.0292576526632218,dft,jarvis_3d,,0.3667,278.2378,,
AlO3V,3.3346332936603993,dft,jarvis_3d,,1.107,38.8845,,
C3Nb4,11.505550049525816,dft,jarvis_3d,,2.0944,75.1734,,
Mn2N2,20.585709098483743,dft,jarvis_3d,,1.4192,182.1184,,
AlCrO3,6.470925844985825,dft,jarvis_3d,,0.7888,128.8776,,
Fe2NaO3,10.520967093422579,dft,jarvis_3d,,1.7321,78.4128,,
C2Cr4Ge2,4.851047338574692,dft,jarvis_3d,,0.5022,317.303,,
As4V4,0.7488766907864941,dft,jarvis_3d,,0.3557,242.0395,,
CInTi3,0.6960263730835642,dft,jarvis_3d,,0.3507,245.2049,,
Cr6Ge2,2.0532164988904764,dft,jarvis_3d,,0.3989,353.9575,,
As2Mn2V2,3.421936399360978,dft,jarvis_3d,,0.5685,149.7866,,
B4Co4,0.00969563583989663,dft,jarvis_3d,,0.2175,406.442,,
C2In2V4,0.6333917994983644,dft,jarvis_3d,,0.3296,333.9686,,
Cr4P4,0.34859162391380805,dft,jarvis_3d,,0.2998,372.9236,,
Cr3NRh,19.037375511294535,dft,jarvis_3d,,1.4262,167.6286,,
Cr3Ge3Nb3,1.659288725327745,dft,jarvis_3d,,0.421,220.9657,,
Co4N2,1.3462790100846205,dft,jarvis_3d,,0.3841,281.9314,,
H2V,0.6879952676795233,dft,jarvis_3d,,0.3275,379.0961,,
LiO2Ti,5.6220623581821805,dft,jarvis_3d,,0.4932,392.3132,,
O4Rh2,0.004275297905240813,dft,jarvis_3d,,0.2058,460.5609,,
P4Ti4,0.002872687291854739,dft,jarvis_3d,,0.2037,374.1871,,
F4Pd2,2.6531239973826453,dft,jarvis_3d,,8.1415,11.0729,,
Rh2V6,3.575393459057368,dft,jarvis_3d,,0.4687,302.2131,,
Co2V6,4.0968036636066145,dft,jarvis_3d,,0.4799,316.2854,,
Cr6Ir2,13.538044909365446,dft,jarvis_3d,,1.5334,111.5396,,
O4Ru2,13.822479355939878,dft,jarvis_3d,,0.6719,388.1851,,
B6K,18.686987692543607,dft,jarvis_3d,,0.5688,816.6966,,
P2V2,0.08687871341368052,dft,jarvis_3d,,0.2561,414.834,,
Al2Ti6,3.7205084332694924,dft,jarvis_3d,,0.4883,269.2596,,
Ir2V6,2.8169847029199775,dft,jarvis_3d,,0.4445,295.3214,,
Pt2V6,10.252900248610622,dft,jarvis_3d,,0.8056,196.1623,,
S4V4,7.107236194661194,dft,jarvis_3d,,0.6007,265.7748,,
Be4Nb2,3.7532240984067564,dft,jarvis_3d,,0.4657,325.3372,,
S2Ti2,0.42109690178839876,dft,jarvis_3d,,0.309,354.7408,,
O4Pd2,4.014918836370834,dft,jarvis_3d,,4.3687,19.1019,,
CFe2Si2Y2,0.04282078669739027,dft,jarvis_3d,,0.2461,323.8409,,
C3Cr2Y2,4.879132096180426,dft,jarvis_3d,,0.5143,293.8202,,
Co3Nb,0.004294037705508655,dft,jarvis_3d,,0.2108,302.2195,,
Mn3N2,15.174386921745754,dft,jarvis_3d,,1.7966,110.0241,,
Co3W,0.0918335619715417,dft,jarvis_3d,,0.2657,296.2033,,
Co3Mo,0.784456380119875,dft,jarvis_3d,,0.3455,303.3536,,
Al3V,13.018625604187099,dft,jarvis_3d,,1.1414,146.0787,,
Co3V,0.3736277001405144,dft,jarvis_3d,,0.3074,327.6315,,
N2V2,2.649512989277932,dft,jarvis_3d,,0.3932,491.1877,,
B2Mo2,6.067713086699493,dft,jarvis_3d,,0.5198,352.4633,,
C2Sc2,17.12493349871122,dft,jarvis_3d,,1.0807,206.0215,,
BCaO3,0.6612859221963591,dft,jarvis_3d,,0.3607,196.7066,,
Al6Fe2,0.30444903785706,dft,jarvis_3d,,0.3109,244.7303,,
LiRu2Si,4.525391842496653,dft,jarvis_3d,,0.565,201.7665,,
Ir2MgTa,0.8064568400253836,dft,jarvis_3d,,0.3847,167.494,,
K2O5Rh2,12.894741137652659,dft,jarvis_3d,,1.612,101.7895,,
GaHfRh2,0.24049136039270674,dft,jarvis_3d,,0.3203,155.06,,
RuTcV2,12.337922550664683,dft,jarvis_3d,,0.8165,230.2107,,
Fe2O4,2.6313446112910497,dft,jarvis_3d,,0.3902,507.4034,,
B2Mo,13.58947119484609,dft,jarvis_3d,,3.3815,70.3101,,
ScSi2,12.24710228390325,dft,jarvis_3d,,1.2259,126.2733,,
O4SnV,0.004494854314459673,dft,jarvis_3d,,0.2101,335.0647,,
FFe2O3,0.17826959769834155,dft,jarvis_3d,,0.2684,518.8564,,
O3Ti3,12.64296988949285,dft,jarvis_3d,,0.921,191.8053,,
Mn3NRh,10.132267069681278,dft,jarvis_3d,,2.7918,56.7504,,
Be2RuV,6.000003382369012,dft,jarvis_3d,,1.3361,56.3633,,
BaP2Pb,1.9161247857094834,dft,jarvis_3d,,2.2698,11.9324,,
Be2FeV,1.7475237927514964,dft,jarvis_3d,,0.3925,326.9361,,
Be2CrFe,0.9515282123693342,dft,jarvis_3d,,0.3414,397.0963,,
BeBrSc2,3.8089911148789564,dft,jarvis_3d,,1.2932,37.0267,,
BeMnRh2,2.8922498830139793,dft,jarvis_3d,,0.4614,260.1078,,
BeCo4Nb,6.417885971668731,dft,jarvis_3d,,1.3404,60.0902,,
BeGeIr2,4.153807942681048,dft,jarvis_3d,,0.8104,78.5925,,
BeIrMn2,13.111397134952,dft,jarvis_3d,,1.4977,110.3183,,
Be2TiV,6.144798148852484,dft,jarvis_3d,,0.7768,126.0955,,
BeFeMn2,10.099699548997732,dft,jarvis_3d,,1.082,121.3124,,
Be2FeSi,0.7940451650173345,dft,jarvis_3d,,0.3538,265.0798,,
Be2MoP,5.92068499410622,dft,jarvis_3d,,2.3046,36.5537,,
O3W,1.7991991242110954,dft,jarvis_3d,,0.4241,231.708,,
Fe2S2,8.043817445133682,dft,jarvis_3d,,2.6037,46.5706,,
B2Ni4,0.0015691759339882094,dft,jarvis_3d,,0.1991,317.8409,,
Fe4Si4,0.00606295225550378,dft,jarvis_3d,,0.2118,393.5367,,
Be2RhRu,3.497744308477818,dft,jarvis_3d,,2.1645,22.3969,,
CNbRu3,14.910065457301341,dft,jarvis_3d,,1.2456,150.9954,,
As3Cr3Ti3,1.790926566868633,dft,jarvis_3d,,0.4165,250.6569,,
As3Fe3Ti3,3.838018723086169,dft,jarvis_3d,,0.5788,159.387,,
Co6Ta2,0.007611842598452291,dft,jarvis_3d,,0.2189,288.296,,
Fe2V6,5.046699296593861,dft,jarvis_3d,,0.5137,305.1254,,
N3V2,4.438017463587193,dft,jarvis_3d,,0.43,537.1651,,
CuO3Sr,6.5619723669960806,dft,jarvis_3d,,0.607,238.4861,,
Co4Zr2,4.437883785706703,dft,jarvis_3d,,0.5739,188.918,,
Al4Sc2,7.567634979086745e-05,dft,jarvis_3d,,0.175,337.3941,,
Nb3O3,4.104938143369133,dft,jarvis_3d,,0.4821,311.5115,,
H4MgTi,0.5541402630311167,dft,jarvis_3d,,0.2999,591.2155,,
Co4Ti2,10.545233772103954,dft,jarvis_3d,,1.3398,98.7796,,
CoS4V2,2.825509120421127,dft,jarvis_3d,,0.4371,318.2775,,
CrS4V2,1.9419034650703093,dft,jarvis_3d,,0.4075,301.4829,,
AgAl3Hf2,0.04234590466598374,dft,jarvis_3d,,0.2576,189.6126,,
B2C2Ca2,0.9898370477606941,dft,jarvis_3d,,0.3264,558.3209,,
B2CrMo,7.442310337790422,dft,jarvis_3d,,0.5655,330.9419,,
AlN4Zr3,3.995605056340469,dft,jarvis_3d,,0.4836,299.714,,
CaO2Zr,9.657024560795497,dft,jarvis_3d,,1.026,124.6691,,
NbO3,5.2525518524288115,dft,jarvis_3d,,0.7793,107.1077,,
Hg2Ti6,3.0881953405813505,dft,jarvis_3d,,0.487,225.7041,,
Co2Re6,1.777456112932674,dft,jarvis_3d,,0.4235,230.3849,,
Co4Hf2,4.245739356933599,dft,jarvis_3d,,0.611,151.5913,,
Ga2Mo6,1.761985802066176,dft,jarvis_3d,,0.4083,270.9764,,
ScSi2,11.391579320573593,dft,jarvis_3d,,1.2809,111.8786,,
CTi3Tl,1.0373268781907736,dft,jarvis_3d,,0.3868,209.3544,,
Al2N2Zr4,0.34556301069567835,dft,jarvis_3d,,0.3066,309.2281,,
Si6V3,0.0004256197986968399,dft,jarvis_3d,,0.1856,402.2581,,
NbRu3,9.242363237274894,dft,jarvis_3d,,0.7401,209.2415,,
P4Ru4,7.95321691549588,dft,jarvis_3d,,1.8984,55.4353,,
Cr2NiS4,5.2251358906175245,dft,jarvis_3d,,1.1892,55.8008,,
BaNi2P4,0.7849282474767104,dft,jarvis_3d,,0.3642,220.7032,,
Sb2V6,7.58860208326623,dft,jarvis_3d,,0.8211,140.1357,,
Al4Sc2,2.4777077581731367e-05,dft,jarvis_3d,,0.1686,344.8732,,
B2Mo,13.698752161933745,dft,jarvis_3d,,3.3651,71.0046,,
Ir2Mo6,5.040987186603165,dft,jarvis_3d,,3.9685,24.6856,,
Rh3Ti,0.5539258326321901,dft,jarvis_3d,,0.3362,255.5537,,
Al2Ti6,3.7206424635206066,dft,jarvis_3d,,0.4883,269.2693,,
Ir2V6,2.814625873775401,dft,jarvis_3d,,0.4444,295.3548,,
Fe2S2,15.576646371951586,dft,jarvis_3d,,1.4631,133.8966,,
Pt2V6,10.267923958449762,dft,jarvis_3d,,0.8066,195.9923,,
Al3Ti,0.5444159273054905,dft,jarvis_3d,,0.3257,311.7191,,
Pd2Ti2,4.03778997309425,dft,jarvis_3d,,0.5622,182.7323,,
O3ScSn,0.44874779259811726,dft,jarvis_3d,,0.4067,70.3338,,
AlFe2Hf,1.3153788831917805e-08,dft,jarvis_3d,,0.143,268.1682,,
Al2FeIr,5.963163198299551e-12,dft,jarvis_3d,,0.1294,268.2004,,
AlRu2Ti,0.15570240924748088,dft,jarvis_3d,,0.2835,268.9392,,
AlNi3,2.411007464853541e-08,dft,jarvis_3d,,0.1444,276.5632,,
Rh2SnV,3.771756238744371,dft,jarvis_3d,,2.732,21.3382,,
BRh3Sc,0.003943007565161239,dft,jarvis_3d,,0.2156,190.3847,,
As3Cr3Ti3,1.7714724002701958,dft,jarvis_3d,,0.4157,250.1719,,
Ge2Mo6,2.797821752627314,dft,jarvis_3d,,0.451,276.0454,,
Cr4Ta2,2.2706574935256145,dft,jarvis_3d,,0.4218,299.7616,,
NbRh3,0.10381260413382992,dft,jarvis_3d,,0.2735,250.9098,,
Cr6Pt2,9.22613557777686,dft,jarvis_3d,,1.5034,77.3625,,
Cr4Nb2,2.6076118973070743,dft,jarvis_3d,,0.4287,319.9026,,
Al2B2Mo2,0.09475818488913648,dft,jarvis_3d,,0.2602,380.5983,,
Nb6Pt2,5.081117647861306,dft,jarvis_3d,,4.1598,24.524,,
PtV,1.3912014304712343,dft,jarvis_3d,,0.3971,245.3284,,
Ir2O4,2.7907323262210175e-06,dft,jarvis_3d,,0.1572,503.9404,,
BaIrO3,6.885352135287784,dft,jarvis_3d,,1.9916,46.4614,,
Hf3Mo3P3,0.10337352186349182,dft,jarvis_3d,,0.2734,250.7357,,
BSc3Tl,5.71940666570184,dft,jarvis_3d,,0.7488,126.3776,,
Ni4ScSn,1.0223695849047314,dft,jarvis_3d,,0.4244,131.2432,,
BaMoO3,0.057915772656735164,dft,jarvis_3d,,0.2503,358.5612,,
CPbSc3,0.00013548396569786493,dft,jarvis_3d,,0.1803,265.7704,,
BRh3Y,3.538955201225527e-05,dft,jarvis_3d,,0.1734,206.3333,,
O2Zr6,2.257997135538773,dft,jarvis_3d,,0.4607,204.3049,,
HfRh3,0.21627723400461554,dft,jarvis_3d,,0.301,224.009,,
O4Os2,7.986040720760837,dft,jarvis_3d,,0.5345,423.1471,,
Ir3V,2.5740246576252455,dft,jarvis_3d,,0.4662,222.1808,,
Ir3Ti,0.49738843646948633,dft,jarvis_3d,,0.3369,226.3373,,
Nb6Os2,4.66580943469984,dft,jarvis_3d,,0.5821,190.613,,
CdNNi3,3.093814918920383,dft,jarvis_3d,,0.6084,111.7408,,
Al2CoOs,1.3226510197539683e-06,dft,jarvis_3d,,0.1569,258.5229,,
BeO3Ta,5.796981256701153,dft,jarvis_3d,,0.9474,84.1345,,
GaIr2Ti,5.081314441311951,dft,jarvis_3d,,2.3924,30.732,,
Ru2ScSn,0.01624440878727725,dft,jarvis_3d,,0.2356,213.0852,,
Mn2TaTi,0.025258173896418542,dft,jarvis_3d,,0.2365,315.0721,,
RuV3,1.7006766735225987,dft,jarvis_3d,,0.3923,319.0038,,
Ru2VZn,6.246654131046232,dft,jarvis_3d,,0.7704,130.3016,,
MoO3Sr,0.4089573975507252,dft,jarvis_3d,,0.3155,294.4335,,
Rh3Zr,0.12678584896014733,dft,jarvis_3d,,0.2803,242.915,,
BeSiSr,1.7514217632258953,dft,jarvis_3d,,0.401,294.1503,,
SiSrZn,0.6959203446885884,dft,jarvis_3d,,0.3616,204.0054,,
BeCaSi,1.2449040863075886,dft,jarvis_3d,,0.3627,358.5228,,
GaSiSr,5.116235029025439,dft,jarvis_3d,,3.206,27.0181,,
AlGaSr,1.0963030474848134,dft,jarvis_3d,,0.4141,157.6511,,
BBeZr,2.6262662656325984,dft,jarvis_3d,,0.4,446.5778,,
IrMo,2.395279373326836,dft,jarvis_3d,,0.4551,227.7079,,
AlOSb,7.494333753023535,dft,jarvis_3d,,4.2669,35.8998,,
BO2,0.6968721224285294,dft,jarvis_3d,,0.353,235.8649,,
BaBrO,3.585314622893728,dft,jarvis_3d,,0.9325,53.3347,,
I2Li,1.9113579966726786,dft,jarvis_3d,,1.2997,18.4811,,
F2Pd,3.690508054398586,dft,jarvis_3d,,0.8993,58.1904,,
CNaO,2.7439199151927856,dft,jarvis_3d,,0.9629,38.8499,,
FNTa,7.963333180568551,dft,jarvis_3d,,1.1539,88.1685,,
LaS2,3.971490639685184,dft,jarvis_3d,,0.6518,120.0389,,
F2Nb,6.284853219129123,dft,jarvis_3d,,3.2072,33.1845,,
NbO2,0.5390617884786504,dft,jarvis_3d,,0.4285,66.2702,,
FOTi,2.144381215985513,dft,jarvis_3d,,0.395,388.408,,
HfO2,0.0003153751690799497,dft,jarvis_3d,,0.1978,72.8636,,
LaN2,20.403702269361062,dft,jarvis_3d,,1.1157,235.5626,,
LiN2,4.848607316596287,dft,jarvis_3d,,2.0488,32.1223,,
FOSi,7.739693057494981,dft,jarvis_3d,,1.834,55.2807,,
AlLiN,7.395926097691232,dft,jarvis_3d,,0.8553,126.9532,,
MoV,4.284072415749873,dft,jarvis_3d,,0.5222,245.0424,,
AsRh2,1.3944655403392631e-11,dft,jarvis_3d,,0.1306,258.7357,,
CNb2,0.6354884275353747,dft,jarvis_3d,,0.3361,293.7608,,
CoSi2,0.6278792286873869,dft,jarvis_3d,,0.328,342.3375,,
BHf,2.099961781359926,dft,jarvis_3d,,0.401,352.6874,,
NbRu,10.492108123974036,dft,jarvis_3d,,1.5887,83.8414,,
BZr,3.7070667168487867,dft,jarvis_3d,,0.4383,412.6581,,
OTi,8.749731363102413,dft,jarvis_3d,,2.9537,47.7955,,
AlSiSr,4.63293385387886,dft,jarvis_3d,,0.6361,148.8631,,
RhZn,0.013728793389824169,dft,jarvis_3d,,0.2385,153.4794,,
NTa2,4.748938718451626,dft,jarvis_3d,,0.5338,252.6957,,
BeRh,0.5265425715849179,dft,jarvis_3d,,0.3332,257.8927,,
HfTc,2.548903687202566,dft,jarvis_3d,,0.4819,193.7297,,
NiSc,0.08408439702979374,dft,jarvis_3d,,0.276,186.2246,,
ScZn,0.9701476218966557,dft,jarvis_3d,,0.4115,143.7299,,
TcTi,5.241013041329546,dft,jarvis_3d,,0.5626,236.6773,,
AlBaSi,4.775598314503376,dft,jarvis_3d,,0.6889,126.5199,,
AlGeSr,2.2111025960368482,dft,jarvis_3d,,6.3461,9.6301,,
MgNiSb,0.01756440551730415,dft,jarvis_3d,,0.2403,178.3614,,
Al2Pd,0.6037377352000184,dft,jarvis_3d,,0.3456,233.0423,,
PSc,12.061163350464403,dft,jarvis_3d,,2.7084,68.5134,,
GaRu,8.815257812688065,dft,jarvis_3d,,0.9086,136.682,,
